epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,334.233,0.85319,0.75174,0.00198,0.66284,0.57648,0.73927,0.63672,0.69986,0.73969,0.00265,0.000792032,0.000792032,0.000792032
176,336.154,0.86196,0.79519,0.00203,0.67922,0.58249,0.71816,0.62016,0.67154,0.7849,0.00259,0.000790199,0.000790199,0.000790199
177,338.09,0.81503,0.81403,0.00201,0.67922,0.58249,0.71816,0.62016,0.67154,0.7849,0.00259,0.000788366,0.000788366,0.000788366
178,340.033,0.82608,0.7636,0.00208,0.4899,0.86009,0.74296,0.63679,0.70385,0.69712,0.00269,0.000786532,0.000786532,0.000786532
179,341.859,0.93473,0.86632,0.00245,0.60989,0.82833,0.75622,0.65246,0.69811,0.63796,0.00267,0.000784699,0.000784699,0.000784699
180,343.774,0.90111,0.71649,0.00213,0.60989,0.82833,0.75622,0.65246,0.69811,0.63796,0.00267,0.000782866,0.000782866,0.000782866
181,345.791,0.81813,0.80024,0.00202,0.57599,0.83332,0.73018,0.63744,0.63915,0.61533,0.00245,0.000781033,0.000781033,0.000781033
182,347.639,0.72679,0.65936,0.00169,0.57599,0.83332,0.73018,0.63744,0.63915,0.61533,0.00245,0.0007792,0.0007792,0.0007792
183,349.622,0.81706,0.77532,0.00197,0.55626,0.89632,0.74567,0.64425,0.6506,0.62391,0.00245,0.000777367,0.000777367,0.000777367
184,351.807,0.76681,0.70034,0.00179,0.54123,0.82837,0.73777,0.64131,0.6252,0.60607,0.00234,0.000775534,0.000775534,0.000775534
185,353.846,0.79947,0.77608,0.00213,0.54123,0.82837,0.73777,0.64131,0.6252,0.60607,0.00234,0.0007737,0.0007737,0.0007737
186,355.851,0.78487,0.71748,0.00195,0.54364,0.81788,0.75558,0.66152,0.59822,0.60385,0.00228,0.000771867,0.000771867,0.000771867
187,357.833,0.8594,0.76211,0.00219,0.54364,0.81788,0.75558,0.66152,0.59822,0.60385,0.00228,0.000770034,0.000770034,0.000770034
