epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,324.062,1.12839,1.09431,0.00304,0.51679,0.80615,0.66039,0.54926,0.75563,0.92428,0.00287,0.000955182,0.000955182,0.000955182
87,327.379,0.98913,0.99728,0.00252,0.6102,0.77758,0.72482,0.60264,0.73958,0.83071,0.00282,0.000953349,0.000953349,0.000953349
88,330.603,0.93799,0.9089,0.00243,0.6102,0.77758,0.72482,0.60264,0.73958,0.83071,0.00282,0.000951516,0.000951516,0.000951516
89,333.802,0.89675,0.93565,0.0025,0.558,0.85337,0.7479,0.65105,0.64067,0.80149,0.00242,0.000949683,0.000949683,0.000949683
90,337.69,0.91743,0.92948,0.00269,0.558,0.85337,0.7479,0.65105,0.64067,0.80149,0.00242,0.00094785,0.00094785,0.00094785
91,341.096,0.96656,1.06883,0.00261,0.58346,0.81883,0.73307,0.62991,0.66722,0.80298,0.00258,0.000946016,0.000946016,0.000946016
92,344.453,1.01447,0.94329,0.00242,0.62906,0.83526,0.72424,0.62457,0.66726,0.82075,0.00253,0.000944183,0.000944183,0.000944183
93,347.682,0.9828,1.0768,0.00286,0.62906,0.83526,0.72424,0.62457,0.66726,0.82075,0.00253,0.00094235,0.00094235,0.00094235
94,350.931,1.01664,1.04941,0.00295,0.61834,0.75504,0.69456,0.5799,0.69792,0.76187,0.00271,0.000940517,0.000940517,0.000940517
95,354.039,0.99906,0.95762,0.00276,0.61834,0.75504,0.69456,0.5799,0.69792,0.76187,0.00271,0.000938684,0.000938684,0.000938684
96,357.241,0.97947,0.96815,0.00236,0.53719,0.63079,0.67709,0.58123,0.65352,0.93085,0.00248,0.000936851,0.000936851,0.000936851
97,360.388,0.87739,0.9022,0.00244,0.54555,0.79218,0.70469,0.61304,0.64821,0.87257,0.00248,0.000935018,0.000935018,0.000935018
98,363.479,0.8787,0.9024,0.00243,0.54555,0.79218,0.70469,0.61304,0.64821,0.87257,0.00248,0.000933184,0.000933184,0.000933184
99,366.615,1.18078,1.12649,0.00331,0.55694,0.81132,0.73601,0.61526,0.71069,0.76517,0.00273,0.000931351,0.000931351,0.000931351
100,369.721,0.97262,0.87704,0.00245,0.55694,0.81132,0.73601,0.61526,0.71069,0.76517,0.00273,0.000929518,0.000929518,0.000929518
101,373.047,0.99797,0.8479,0.00238,0.53452,0.7707,0.7275,0.6101,0.70373,0.74388,0.00264,0.000927685,0.000927685,0.000927685
102,376.714,1.01846,0.91021,0.00281,0.50326,0.70763,0.70001,0.5996,0.72546,0.77501,0.00282,0.000925852,0.000925852,0.000925852
103,380.335,0.89605,0.82727,0.00237,0.50326,0.70763,0.70001,0.5996,0.72546,0.77501,0.00282,0.000924019,0.000924019,0.000924019
104,384.027,0.95552,0.89768,0.00264,0.52538,0.67186,0.70809,0.62095,0.65589,0.8108,0.00247,0.000922186,0.000922186,0.000922186
105,387.76,0.81248,0.76531,0.00214,0.52538,0.67186,0.70809,0.62095,0.65589,0.8108,0.00247,0.000920352,0.000920352,0.000920352
106,391.636,0.91774,0.81461,0.00235,0.60923,0.62212,0.7253,0.62019,0.6609,0.75194,0.00255,0.000918519,0.000918519,0.000918519
107,395.231,0.916,0.83899,0.00223,0.57224,0.80324,0.73846,0.62244,0.69981,0.72368,0.00262,0.000916686,0.000916686,0.000916686
108,398.881,0.96163,0.92069,0.0026,0.57224,0.80324,0.73846,0.62244,0.69981,0.72368,0.00262,0.000914853,0.000914853,0.000914853
109,402.539,0.91175,0.75782,0.00233,0.53286,0.89223,0.75895,0.65396,0.63332,0.67635,0.00242,0.00091302,0.00091302,0.00091302
