epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,236.722,1.25307,1.12928,0.00427,0.54861,0.64123,0.66586,0.50845,0.93131,0.83816,0.00439,0.00088945,0.00088945,0.00088945
69,239.716,1.12435,1.06624,0.00372,0.47041,0.66657,0.64982,0.53648,0.75518,0.84121,0.00379,0.0008878,0.0008878,0.0008878
70,242.754,1.04222,1.01113,0.00339,0.47672,0.7605,0.6865,0.56392,0.86762,0.79587,0.00393,0.00088615,0.00088615,0.00088615
71,245.828,1.02158,0.92118,0.00337,0.47672,0.7605,0.6865,0.56392,0.86762,0.79587,0.00393,0.0008845,0.0008845,0.0008845
72,248.972,0.96926,0.95052,0.00341,0.41171,0.80119,0.6841,0.55692,0.79348,0.77164,0.00372,0.00088285,0.00088285,0.00088285
73,251.918,1.01567,1.00782,0.0035,0.41171,0.80119,0.6841,0.55692,0.79348,0.77164,0.00372,0.0008812,0.0008812,0.0008812
74,255.001,1.00238,0.96626,0.00345,0.5054,0.56755,0.69261,0.56426,0.81047,0.81246,0.00381,0.00087955,0.00087955,0.00087955
75,258.073,0.97669,0.86844,0.00315,0.85162,0.4938,0.69768,0.58616,0.69218,0.75831,0.00342,0.0008779,0.0008779,0.0008779
76,261.119,1.10964,1.0638,0.00394,0.85162,0.4938,0.69768,0.58616,0.69218,0.75831,0.00342,0.00087625,0.00087625,0.00087625
77,264.255,0.98727,0.93443,0.00346,0.53378,0.87845,0.69144,0.55556,0.81021,0.73706,0.0042,0.0008746,0.0008746,0.0008746
78,267.199,1.06793,0.89237,0.00356,0.53378,0.87845,0.69144,0.55556,0.81021,0.73706,0.0042,0.00087295,0.00087295,0.00087295
79,270.156,1.04287,0.91811,0.00315,0.51425,0.83537,0.67642,0.55595,0.70317,0.76982,0.00324,0.0008713,0.0008713,0.0008713
80,273.119,1.06019,0.93263,0.00357,0.46584,0.77909,0.67397,0.57194,0.66789,0.73192,0.00305,0.00086965,0.00086965,0.00086965
81,276.037,0.99582,0.83592,0.00324,0.46584,0.77909,0.67397,0.57194,0.66789,0.73192,0.00305,0.000868,0.000868,0.000868
82,279.003,0.99782,0.91107,0.00337,0.54087,0.79462,0.71135,0.58278,0.72555,0.70294,0.00344,0.00086635,0.00086635,0.00086635
83,282.051,1.04402,0.90218,0.00347,0.54087,0.79462,0.71135,0.58278,0.72555,0.70294,0.00344,0.0008647,0.0008647,0.0008647
84,285.45,0.93699,0.80247,0.00283,0.52741,0.82141,0.70506,0.59871,0.6745,0.71566,0.00343,0.00086305,0.00086305,0.00086305
85,288.7,0.934,0.90475,0.00324,0.48972,0.70166,0.71229,0.58773,0.70478,0.70905,0.00319,0.0008614,0.0008614,0.0008614
86,291.794,1.05725,0.94984,0.00349,0.48972,0.70166,0.71229,0.58773,0.70478,0.70905,0.00319,0.00085975,0.00085975,0.00085975
87,295.038,1.03425,0.882,0.00339,0.49939,0.77934,0.71816,0.5995,0.66679,0.65091,0.00315,0.0008581,0.0008581,0.0008581
88,298.241,0.95217,0.9232,0.00306,0.49939,0.77934,0.71816,0.5995,0.66679,0.65091,0.00315,0.00085645,0.00085645,0.00085645
89,301.49,0.98065,0.88499,0.00342,0.57395,0.86091,0.73086,0.58644,0.7775,0.64283,0.00356,0.0008548,0.0008548,0.0008548
90,304.825,1.03105,0.95328,0.00365,0.57395,0.86091,0.73086,0.58644,0.7775,0.64283,0.00356,0.00085315,0.00085315,0.00085315
91,308.15,0.99494,0.90218,0.00331,0.60363,0.85992,0.73613,0.61151,0.71197,0.66242,0.00345,0.0008515,0.0008515,0.0008515
92,311.546,1.03524,0.76616,0.00298,0.63948,0.70221,0.71942,0.55692,0.98443,0.74512,0.00419,0.00084985,0.00084985,0.00084985
93,314.572,1.14663,0.93292,0.00419,0.63948,0.70221,0.71942,0.55692,0.98443,0.74512,0.00419,0.0008482,0.0008482,0.0008482
94,317.678,1.08911,0.89403,0.00412,0.64996,0.75637,0.72699,0.55669,1.01726,0.75168,0.00452,0.00084655,0.00084655,0.00084655
95,320.782,1.19131,0.97406,0.0041,0.64996,0.75637,0.72699,0.55669,1.01726,0.75168,0.00452,0.0008449,0.0008449,0.0008449
96,323.86,0.98204,0.82823,0.00306,0.62385,0.76995,0.76221,0.62798,0.7465,0.69922,0.0039,0.00084325,0.00084325,0.00084325
97,327.098,0.99715,0.89978,0.00359,0.54602,0.83152,0.7762,0.63027,0.7321,0.64098,0.00339,0.0008416,0.0008416,0.0008416
98,330.144,0.93983,0.82096,0.00332,0.54602,0.83152,0.7762,0.63027,0.7321,0.64098,0.00339,0.00083995,0.00083995,0.00083995
99,333.362,1.10288,0.99301,0.00434,0.57093,0.70828,0.7511,0.63817,0.67977,0.63266,0.00319,0.0008383,0.0008383,0.0008383
100,336.397,0.82859,0.73568,0.00263,0.57093,0.70828,0.7511,0.63817,0.67977,0.63266,0.00319,0.00083665,0.00083665,0.00083665
101,339.536,0.9849,0.81165,0.00295,0.69655,0.70372,0.75922,0.62267,0.78239,0.65197,0.00338,0.000835,0.000835,0.000835
102,342.537,1.01855,0.82068,0.00351,0.70436,0.65779,0.75334,0.60623,0.73661,0.65897,0.00335,0.00083335,0.00083335,0.00083335
103,345.784,0.87102,0.71546,0.00294,0.70436,0.65779,0.75334,0.60623,0.73661,0.65897,0.00335,0.0008317,0.0008317,0.0008317
104,348.762,1.01757,0.82776,0.00343,0.52215,0.84849,0.74107,0.59626,0.75757,0.61463,0.00345,0.00083005,0.00083005,0.00083005
105,351.798,0.97605,0.83588,0.0031,0.52215,0.84849,0.74107,0.59626,0.75757,0.61463,0.00345,0.0008284,0.0008284,0.0008284
106,354.971,1.05197,0.80119,0.00343,0.53676,0.84722,0.75982,0.60761,0.77346,0.60238,0.00362,0.00082675,0.00082675,0.00082675
107,358.052,1.01905,0.77495,0.0031,0.52461,0.85929,0.7712,0.65183,0.70211,0.5788,0.00371,0.0008251,0.0008251,0.0008251
108,361.197,0.96739,0.81167,0.00325,0.52461,0.85929,0.7712,0.65183,0.70211,0.5788,0.00371,0.00082345,0.00082345,0.00082345
109,364.433,0.95973,0.75041,0.00322,0.53206,0.77361,0.75469,0.61246,0.81612,0.64471,0.00351,0.0008218,0.0008218,0.0008218
110,367.484,1.04438,0.82643,0.00348,0.53206,0.77361,0.75469,0.61246,0.81612,0.64471,0.00351,0.00082015,0.00082015,0.00082015
111,370.57,1.00425,0.80992,0.00308,0.57612,0.71187,0.75401,0.59076,0.92586,0.71226,0.00414,0.0008185,0.0008185,0.0008185
